Unnamed: 0,pagination,article_text,header,date,author,hashtag,link,Adress,Article_summary,Name,Adress_clean,lat,lon,pros_and_cons,pros,cons,rating,score
0,57,"Новый бар открылся в полуподвале отеля «Марко Поло», то есть Патриарший пруд в соседнем квартале.
В качестве закуски заявлена перуанская кухня. Большинство коктейлей по 700 рублей.
Плюсы:
— вроде как все сделано для девочек любого возраста;
— коктейли приносят в олдскульных бокалах с золотым краем и на «бабушкиной» розовой тарелке;
— вместо картошки фри жарят батат;
— есть терраса и на ней все-таки сидеть приятнее, чем на розовых диванах.
Минусы:
— доминирующий розовый;
— оформление меню напоминает не будуар, но бордель;
— это не перуанская кухня, а московская пародия на нее, то есть еда без удовольствия и смысла;
— мужчины в расцвете лет на охоте за любительницами коктейлей — и смех, и слезы, и категорически без любви;
— цветная капуста с йогуртом в меню – теряюсь в догадках: кто таким будет закусывать коктейль Happy Porn Star Martini на текиле, а не на водке?
— к подавляющему числу коктейлей прибавлено слово happy, что в свою очередь приводит к уморительным сочетаниям слов, но Sex on the beach остался без приставки happy и по этому поводу можно написать целую басню;
— севиче из лосося, тунца, дорады и сибаса;
— осьминог с киноа стоит 1100 рублей, и это совсем крохотная порция.","Идите в новый Happy End Kitchen & Bar на Патриарших, если любите розовый цвет и батат задорого",2018-07-20,Светлана Кесоян,['Happy End Kitchen & Bar'],https://moskvichmag.ru/restorany-i-bary/idite-v-novyj-happy-end-kitchen-bar-na-patriarshih-esli-l/,"Москва, отель «Марко Поло», Патриарший пруд","Новый бар в отеле ""Марко Поло"" предлагает перуанскую кухню и коктейли в олдскульных бокалах. Однако оформление и меню оставляют желать лучшего, а еда не соответствует ожиданиям. Бар, похоже, рассчитан на женскую аудиторию, но атмосфера и цены могут подойти не всем.","Бар ""Марко Поло""","г Москва, пер Малый Патриарший",55.763381,37.5913014,"(4, 8)",4,8,25.0,4
1,57,"Ресторан Bjorn (Пятницкая, 3/4) пользуется репутацией лучшего из нордических, и к стартовавшей неделе тартаров (в рамках Moscow Restaurant Week) шеф-повар Никита Подерягин подготовил специальное меню.
Если заказать и попробовать оттуда все, что есть, то можно слегка сэкономить и заплатить 1700 рублей.
Плюсы:
— тартар из ягненка: легкий и замечательный, подается на крупном колотом льду, под зелеными листками на мясе лежит земляника, и это отличное, умное сочетание;
— тартар из елки: зеленые кубики мармелада, парадоксально съедобные иголки, заправка с ромом;
— украшения из съедобных былинок и цветов;
— чистота и аскетичность окружающей обстановки;
— деликатная и обаятельная работа официантов;
— одухотворенные лица большинства посетителей.
Минусы:
— тартар из кабачка упакован в цветок кабачка, то есть цветок разрезан на две части и каждая прикрывает сырой овощ, нарезанный мелким кубиком и заправленный маслом из фундука. Красиво, но абсолютно нейтрально. К тому же ложе цветка неожиданно оказывается горьким — и вся затея летит в тартарары;
— тартар из креветки-медведки и гребешка с соусом из водорослей: получился вкус вареных раков, а теоретически хотелось бы почувствовать терпкую свежесть и прохладу морской воды;
— тартар «Северное манго» из двух сортов груши: десертное, слегка сладкое, аккуратное, но ужасно примитивное;
— никогда не думала, что скажу это вслух, но KFC рядом, и туда так и тянет зайти и заесть все вышеперечисленное острыми крыльями в абсолютно варварской панировке. Может, и ужасно, но против правды не попрешь.
Фото: © BJORN",В Bjorn предлагают тартар из елки,2018-07-28,Светлана Кесоян,"['Bjorn', 'Moscow Restaurant Week', 'тартар из елки']",https://moskvichmag.ru/restorany-i-bary/%d0%b2-bjorn-%d0%bf%d1%80%d0%b5%d0%b4%d0%bb%d0%b0%d0%b3%d0%b0%d1%8e%d1%82-%d1%82%d0%b0%d1%80%d1%82%d0%b0%d1%80-%d0%b8%d0%b7-%d0%b5%d0%bb%d0%ba%d0%b8/,"Москва, Пятницкая, 3/4","Ресторан Bjorn предлагает специальное меню тартаров в рамках Moscow Restaurant Week, которое можно попробовать за 1700 рублей. В меню есть как вкусные варианты, такие как тартар из ягненка и тартар из елки, так и менее удачные, такие как тартар из кабачка и тартар из креветки-медведки. Официанты работают деликатно и обаятельно, а атмосфера чистая и аскетичная.","Ресторан ""Bjorn""","г Москва, ул Пятницкая, д 3/4",55.7455713,37.6269852,"(6, 4)",6,4,50.0,7
2,57,"Новая точка сети симпатичных кофеен Surf Coffee открылась по дороге от Филармонии к бару Noor (Тверская, 25). Проскочить мимо легко: это дверь в маленькую комнату, украшенную панно с попугаями, но адепты тропиков наверняка заметят.
Плюсы:
— хороший кофе и бумажные стаканы опять же в попугаях;
— фирменный кофе называется «Гавайский» и еще есть латте «Теахупу»;
— латте «Хайфа» с миндальным сиропом и халвой — сладко так, что потом сутки есть не хочется; цена 229 р. за средний объем, но это почти ведро;
— серфингисты и сочувствующие им граждане, а также скейтбордисты – крайне привлекательный народ в любом возрасте, и именно они адепты этой сети;
— цена соответствует объему и содержанию;
— стикеры с девизом компании: Surfingneveralone;
— персонал хочет дружить сразу;
— в кофе могут добавить маршмеллоу, а в чай — массалу;
— вы давно видели на прилавке синие и красные Wagon Wheels? Так вот они тут есть.
Минусы:
— тем, кто не любит попугаев и боится пионеров, это место и кофе категорически не подходят.","Surf Coffee с таким сладким латте, от которого сутки потом есть не хочется, теперь на Тверской",2018-08-02,Светлана Кесоян,"['Surf Coffee', 'латте', 'Тверская']",https://moskvichmag.ru/restorany-i-bary/surf-coffee-%d1%81-%d1%82%d0%b0%d0%ba%d0%b8%d0%bc-%d1%81%d0%bb%d0%b0%d0%b4%d0%ba%d0%b8%d0%bc-%d0%bb%d0%b0%d1%82%d1%82%d0%b5-%d0%be%d1%82-%d0%ba%d0%be%d1%82%d0%be%d1%80%d0%be%d0%b3%d0%be-%d1%81%d1%83/,"Москва, Тверская, 25","В новой кофейне Surf Coffee, которая открылась недалеко от Филармонии, можно найти интересные и вкусные напитки, такие как латте ""Хайфа"" с миндальным сиропом и халвой. Кофейня имеет привлекательную атмосферу и цену, соответствующую объему и содержанию.","Кофейня ""Surf Coffee""","г Москва, ул Тверская, д 25",55.7678251,37.5992648,"(9, 1)",9,1,85.71,9
3,57,"Отличное японское кафе J’PAN с интересной едой и низкими ценами обнаружено на Трубной, 21.
Найден выход для тех, кого тошнит от дешевых суши и их потребителей, употребляющих слово «сушки». В J’PAN готовят кухню yoshoku — то, что пришло с Запада и прижилось на островах со всеми поправками на местные привычки.
Плюсы:
— салат с жареным баклажаном и тофу — изумительные пропорции, хрустящий и красиво нарезанный баклажан, по сути, это не салат, а полноценный обед (цена 350 рублей);
— чикен-кацу — это куриный шницель (в тонкой хрустящей панировке), нарезан ломтиками и подается с лимоном и копной салата (снова 350 рублей);
— унадон — чаша с рисом, покрытым филе угря (720 рублей);
— вменяемые цены;
— персонал терпеливо объясняет все непонятные слова всем, кто с Японией в таком виде еще не сталкивался, так что новичкам совсем не страшно;
— маття-аффогато (300 рублей) — вариация на тему итальянского эспрессо, вылитого на шарик мороженого. В J’PAN все наоборот: мороженое плавает в холодном напитке из зеленого и порошкового японского чая, но в целом получилось здорово;
— на отдельной открытой кухне готовят токояки — золотистые шарики с начинкой или «вафли» в форме рыбок – тайяки. Процесс завораживает. Тесто не сладкое, на бульоне даси. Токояки — уличная еда родом из Осаки, где их придумали готовить в 1935 году.
Минусы:
— их пока нет.
Фото: © J-pan","Ресторанный критик Светлана Кесоян нашла настоящее японское кафе, где не услышишь слово «сушки»",2018-08-03,Светлана Кесоян,"['J’PAN', 'японское кафе']",https://moskvichmag.ru/restorany-i-bary/%d1%80%d0%b5%d1%81%d1%82%d0%be%d1%80%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b8%d1%82%d0%b8%d0%ba-%d1%81%d0%b2%d0%b5%d1%82%d0%bb%d0%b0%d0%bd%d0%b0-%d0%ba%d0%b5%d1%81%d0%be%d1%8f%d0%bd-%d0%bd-10/,"Москва, Трубная, 21","Кафе J'PAN на Трубной, 21, предлагает интересную и вкусную японскую кухню yoshoku по низким ценам. В меню есть различные блюда, такие как салат с баклажаном и тофу, чикен-кацу и унадон. Персонал терпелив и готов объяснить непонятные слова, а цены вполне приемлемые.","Кафе ""J'PAN""","г Москва, ул Трубная, д 21",55.7705205,37.6249784,"(7, 1)",7,1,82.35,9
4,57,"В Раклет-бар Borough в Благовещенском переулке, 1а, главное — это раклет, расплавленный сыр. Новое московское место названо так в честь лондонского Borough market, где, как мы понимаем, с продуктами и едой все в порядке, включая раклетную ситуацию. Надеюсь, что бару-новичку повезет больше, чем его предшественникам по упомянутому выше адресу (Благовещенский переулок — чемпион по открытиям и закрытиям странных мест).
Плюсы:
— добротная история с раклетом, в Москве давно не вспоминали про этот способ плавки сыра;

— на открытой кухне стоит настоящая раклетница, и повар умеет с ней работать;

— сыр правильно плавится и элегантно съезжает в тарелку при помощи раклетного ножа;

— швейцарский сыр — разрешенный продукт, вне санкций, мутить с запрещенкой не надо;

— цена раклетов — от 620 до 750 рублей;

— здесь можно заказать классический раклет с молодой картошкой, маринованными корнишонами и луком;

— а также раклет с ростбифом и спаржей;

— томатный суп тоже приправляют раклетом.
Минусы:
— странно, что генеральный замысел проекта переносит нас на лондонский рынок, но, впрочем, какая разница. Раклет — швейцарская пастушья история, и как она к нам попала — не так уж важно. Главное, чтобы качество и сыр не пострадали в процессе переноски на чужбину;

— случайная посуда (деревянные плошки и банки из стекла) — хочется более точного отношения к сервировке;

— разношерстное меню, где раклетная часть на особом месте, а вот все остальное трудно обосновать. Наблюдается некоторый дисбаланс с севиче, бургером и свекольным гаспачо с неркой;

— вина пока нет (обещают с конца августа), но есть лимонады и немножко пива.",Ресторанный критик Светлана Кесоян нашла новое сырное место — раклетную в Благовещенском,2018-08-11,Светлана Кесоян,"['Благовещенский переулок', 'Раклет-бар Borough']",https://moskvichmag.ru/restorany-i-bary/%d1%80%d0%b5%d1%81%d1%82%d0%be%d1%80%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d0%ba%d1%80%d0%b8%d1%82%d0%b8%d0%ba-%d1%81%d0%b2%d0%b5%d1%82%d0%bb%d0%b0%d0%bd%d0%b0-%d0%ba%d0%b5%d1%81%d0%be%d1%8f%d0%bd-%d0%bd-2/,"Москва, Благовещенский переулок, 1а","Раклет-бар Borough в Благовещенском переулке, 1а, представляет собой уникальное заведение, где главным блюдом является раклет, расплавленный сыр. В меню представлены различные варианты раклета, включая классический и более изысканные варианты, а также другие блюда, которые могут показаться не совсем уместными в этом типе заведения.","Раклет-бар ""Borough""","г Москва, пер Благовещенский, д 1А",55.7666695,37.5959205,"(8, 4)",8,4,57.14,7
5,56,"Neon Monkey с добротной тайской едой и коктейлями работает на Большой Дмитровке, 32, стр. 2. Сначала надо найти подворотню, потом направо и до конца, там увидите дверь с характерной надписью — вам туда, в портал в другой мир (обшарпано, темно, неоновая подсветка).


Плюсы:
— «Мах Кхе Те Ра Кван» — это тайская Bloody Mary. Выдается на руки в пакете для завтрака, характерно перевязанном и с трубочкой, то есть совсем как в любом уличном тайском заведении. На вкус чуть больше, чем коктейль, и чуть меньше, чем еда, то есть в самый раз;
— доступные цены на коктейли: 450–480 р.;
— коктейли здесь с фантазией, подобного вы точно нигде больше не найдете;
— отличный том ям (420 р.) с курицей и креветками на кокосовом молоке (рис к нему подают, как и положено, отдельно, еще за 100 р.);
— ассорти тайских холодных закусок стоит 350 р., и их надо заказывать обязательно: кроме битых огурцов и обжигающей небо капусты есть еще прохладные помидоры черри, очищенные от кожицы и в пряном маринаде, островато-пряная свинина и креветки в имбирно-соевой заправке;
— если к тайским закускам взять рис на пару и смешивать одно с другим, то получится классный вечер.
Минусы:
— в воскресенье и понедельник закрыто;
— со вторника по субботу работают с 18.00 и до полуночи, что, конечно, очень ограничивает в действиях избалованного посетителя;
— в первый раз обнаружить подворотню, двор и входную дверь почти невозможно;
— пить коктейли из пакета с трубочкой аутентично, но не исключаю перекошенные мордочки особо впечатлительных прохожих;
— тайские названия в меню произнести может не каждый, включая официантов, так что все пользуются просто цифрами, что лишает меню прикладного смысла;
— «Кхау Пхат» — креветки с авокадо и рисом, уложены в половину ананаса, стоят 850 р., и это явный перебор.",Замечательная забегаловка Neon Monkey — правдивая имитация бангкокской дыры,2018-08-16,Светлана Кесоян,"['Neon Monkey', 'Мах Кхе Те Ра Кван', 'тайская еда и коктейли', 'том ям']",https://moskvichmag.ru/restorany-i-bary/%d0%b7%d0%b0%d0%bc%d0%b5%d1%87%d0%b0%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%b0%d1%8f-%d0%b7%d0%b0%d0%b1%d0%b5%d0%b3%d0%b0%d0%bb%d0%be%d0%b2%d0%ba%d0%b0-neon-monkey-%d0%bf%d1%80%d0%b0%d0%b2%d0%b4/,"Москва, Большая Дмитровка, 32, стр. 2","Заведение Neon Monkey расположено на Большой Дмитровке, 32, стр. 2, и отличается интересным интерьером. В меню представлены различные тайские блюда и коктейли, которые можно заказать по доступным ценам. Однако есть некоторые минусы, такие как ограниченное время работы и сложность найти вход.","Ресторан ""Neon Monkey""","г Москва, ул Дмитровка Б., д 32 стр 2",55.7654901,37.6115184,"(6, 6)",6,6,40.0,8
6,56,"Открывшийся на Усачевском рынке Avocado Bar стойко выдерживает заданную в названии концепцию: готовить все (ну или почти все) с авокадо. Так что если в голову вдруг пришла мысль о завтраке на рынке, то имеет смысл найти этот бар — он без алкоголя.

Плюсы:
— завтраки весь день по 350 р.;
— во всех завтраках кроме авокадо есть еще два яйца (приготовят, как скажете) и хлеб;
— если вы уже не едите на завтрак яйца, то их с легкостью заменяют на киноа;
— «Зеленый завтрак» — это салат из мини-шпината и огурца, заправленный кунжутным маслом. Козий сыр тут на своем месте, а песто из петрушки и тыквенных семечек продуманная и хорошая вещь;
— «Оранжевый завтрак» — это морковь с фенхелем и сальса из желтых перцев. Грибы шиитаке в тарелке, видимо, для цветового контраста, потому что они совсем не оранжевые;
— ко всей этой утренней радуге можно добавить тунца, лосося, ветчины, креветок на гриле — по 200 р. каждый «доп», а халуми или жареный тофу стоят по 150 р.;
— в основном меню ищите салаты (350–550 р.), там тоже, естественно, авокадо. Самый симпатичный называется «Шри-Ланкийский» — с папайей, оливковым маслом и красным луком. Сушеная крошка киноа его не портит.
Минусы:
— странный салат с апельсином, куда кроме листьев и гранатовой заправки добавили маринованного лука;
— «Розовый завтрак» — тошнит уже от этого вездесущего свекольного хумуса, коул слоу из краснокочанной капусты с морковкой;
— пожалуйста, не пишите в названии блюда слово «лучок» — тошнит еще больше.",Помешаны на здоровом питании? Для вас открылся Avocado Bar на Усачевском рынке,2018-08-17,Светлана Кесоян,"['Avocado Bar', 'завтраки весь день', 'Усачевский рынок']",https://moskvichmag.ru/restorany-i-bary/%d0%bf%d0%be%d0%bc%d0%b5%d1%88%d0%b0%d0%bd%d1%8b-%d0%bd%d0%b0-%d0%b7%d0%b4%d0%be%d1%80%d0%be%d0%b2%d0%be%d0%bc-%d0%bf%d0%b8%d1%82%d0%b0%d0%bd%d0%b8%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b2%d0%b0%d1%81-%d0%be/,"Москва, Усачевский рынок","В меню Avocado Bar представлены разнообразные блюда с авокадо, включая завтраки, салаты и добавки. Меню предлагает интересные и вкусные варианты, такие как ""Зеленый завтрак"" и ""Шри-Ланкийский"" салат. Однако есть и минусы, например, странный салат с апельсином и ""Розовый завтрак"" с свекольным хумусом.","Бар ""Avocado Bar""","г Москва, пер Усачёвский",55.7271354,37.5672254,"(7, 3)",7,3,60.87,7
7,56,"Название забегаловки с макаронами Bob’s your uncle на Тверской, 27, педалирует тему, что все будет проще простого. Но это у кого как. Смысл затеи — дешевый фастфуд, где все готовят с пастой, а рецепты собраны со всего мира. Но какой бы лютый голод вас ни одолел, держите себя в руках и потратьте свои деньги на что-нибудь еще.


Минусы:
— паста-бар, где ради скорости пасту держат в состоянии полуготовности и доводят до кондиции под заказ;

— пасту делают сами, но только одну разновидность — биголи (тугие и толстые «шнурки», более всего в этом месте они похожи на советские макароны);

— карбонара по-русски: со сливками и дешевой ветчиной — на вкус как спрессованный хлеб, цена — 290 р.;

— качество одноразовых вилок и стаканов, пусть они даже сто миллионов раз будут экологическими;

— черная паста — это уже упомянутые биголи, перемазанные черным соусом и отчаянно сухие все равно;

— рассказы сотрудников про отца-основателя, который сначала десять лет собирал рецепты, а после открытия слетал в Италию еще раз и подтвердил, что их болоньезе на Тверской лучше;

— цена кока-колы (110 р. за 0,33 мл).
Плюсы:
— увитые диким виноградом стены у входа, при желании там можно сесть и съесть шаурму из ближайшей подворотни (эту шаурму едят все местные таксисты и дворники — они на ветер денег не бросают).",Bob’s your uncle на Тверской — худший макаронный фастфуд в городе,2018-08-22,Светлана Кесоян,"[""Bob's yuor uncle"", 'Макаронный фастфуд', 'Тверская 27']",https://moskvichmag.ru/restorany-i-bary/restorannyj-kritik-svetlana-kesoyan-o/,"Москва, Тверская, 27","Забегаловка с макаронами Bob’s your uncle на Тверской, 27, позиционирует себя как место, где все просто и дешево. Однако реальность оказывается другой: пасту готовят не до конца, а рецепты не слишком разнообразны. Есть и другие минусы, такие как низкое качество посуды и дорогая кока-кола.","Забегаловка ""Bob’s your uncle""","г Москва, ул Тверская, д 27",55.7682172,37.5983938,"(1, 7)",1,7,8.7,2
8,56,"В The Truffle (трюфельная) на Центральном рынке все, без преувеличения, готовят с упомянутыми грибами из Пьемонта. Разве что в смузи-лимонады не кладут, а так — повсюду. Найти просто: на первом этаже держитесь левой стороны и ближе к середине маршрута увидите открытую кухню.
Плюсы:
— про грибы не врут, а если не верите, показывают драгоценные комочки, разворачивая безупречные салфетки;
— готовят и рассказывают с воодушевлением;
— чистая кухня и простой дизайн отсека;
— много заказов на вынос;
— завтраки с 8 утра и до полудня, но если очень попросить, то приготовят омлет с помидором (340 руб.) и в 10 вечера;
— есть даже сырники с ванильно-трюфельным кремом (370 руб.);
— доступные цены;
— вкусный хлеб, из которого получаются тонкие и поджаристые тосты;
— Салат «Панцанелла» (420 руб.) с трюфельной рикоттой (покупают обычную и превращают ее в трюфельную) — идеальный. В салате русские помидоры отличного качества. Сбалансированная порция;
— медальоны из говядины с брокколи (690 руб.): мясо в трюфельной пасте, соус с трюфелем и еще трюфель натерт сверху. Брокколи мягко похрустывает. Кроме всего прочего, в тарелке есть лисички, и они маленькие и упругие — класс!
— фетучини с пармезаном (410 руб.) — пасту делают сами. Пармезан трюфелю никак не мешает;
— изящное положение еды в каждой тарелке.
Минусы:
Их пока не нашлось.","На Центральном рынке работает трюфельная, в которой пока не найдено ни одного недостатка",2018-08-23,Светлана Кесоян,"['The Truffle', 'Трюфельная', 'Центральный рынок']",https://moskvichmag.ru/restorany-i-bary/na-tsentralnom-rynke-rabotaet-tryufel/,"Москва, Центральный рынок","Заведение The Truffle на Центральном рынке предлагает блюда с трюфелями из Пьемонта. Кухня чистая, дизайн простой, цены доступные, а еда вкусная. Меню включает разнообразные блюда, такие как салат «Панцанелла», медальоны из говядины с брокколи и фетучини с пармезаном.","Ресторан ""The Truffle""","г Москва, ул Центральная",55.6469176,37.4635832,"(12, 0)",12,0,100.0,9
9,56,"Маленький бар в подвале, где играет джаз или блюз, в Большом Козихинском переулке, 9, успешно имитирует своих собратьев из Лондона или Нью-Йорка. Пригодится для уничтожения вечной сезонной хандры.

Плюсы:
— идеально для камерного концерта с мурлыкающим блюзом;
— живой джаз;
— когда начинаются танцы, то они выглядят милыми;
— охранник на табуретке перед входной дверью — еще одна деталь из игры в Нью-Йорк;
— можно приехать компанией, можно прийти вдвоем;
— звук выстроен так, что говорить друг с другом получается без проблем;
— короткое меню, еды практически нет (салат Cobb стоит 650 рублей);
— место скорее про коктейли, а не про вино (400–750 рублей за бокал);
— заявленные классические коктейли в авторском исполнении — не пугающие композиции, есть за что зацепиться;
— сэндвич Po Boy (750 рублей) — это традиционный луизианский рецепт с томленой пряной свининой и с беконом, подается на старорежимном подносе; салат коул слоу в рожке из пармезана на гарнир.
 
Минусы:
— присутствие в меню салата коул слоу из капусты и моркови (400 рублей) — не для наших реалий;
— очень серьезный бармен пытается завести непринужденную беседу, и это у него очень плохо получается (лучше бы не начинал);
— «авторский» New York sour за 650 рублей;
— одному человеку уложится в одну тысячу рублей с выпивкой и закуской невозможно.",В Большом Козихинском открылся джазовый бар The Bix,2018-08-29,Светлана Кесоян,"['The Bix', 'Большой Козихинский переулок', 'джазовый бар']",https://moskvichmag.ru/restorany-i-bary/%d0%b2-%d0%b1%d0%be%d0%bb%d1%8c%d1%88%d0%be%d0%bc-%d0%ba%d0%be%d0%b7%d0%b8%d1%85%d0%b8%d0%bd%d1%81%d0%ba%d0%be%d0%bc-%d0%be%d1%82%d0%ba%d1%80%d1%8b%d0%bb%d1%81%d1%8f-%d0%b4%d0%b6%d0%b0%d0%b7%d0%be/,"Москва, Большой Козихинский переулок, 9","В баре в подвале Большого Козихинского переулка 9 можно найти атмосферу, напоминающую Лондон или Нью-Йорк, с живым джазом и блюзом. Бар предлагает коктейли и небольшой выбор закусок, хотя цены могут быть выше среднего. Несмотря на некоторые минусы, бар может быть хорошим местом для компании или пары, если не обращать внимание на высокие цены.",Бар в подвале,"г Москва, пер Козихинский Б., д 9",55.7634656,37.5961678,"(10, 4)",10,4,62.5,7
